  Grid, Temperature, Uvec, density, HCO+(x200), H3O+, E, ePotential, efield
   0.000e+00,   3.000e+02,   6.822e-01,   1.237e+00,   2.976e+02,   5.270e+03,   5.625e+03,  -1.042e-17,  -3.978e-02
   1.000e-02,   3.000e+02,   6.822e-01,   1.237e+00,   2.976e+02,   5.270e+03,   5.625e+03,   3.978e-02,  -4.043e-02
   2.000e-02,   3.000e+02,   6.822e-01,   1.237e+00,   2.979e+02,   5.266e+03,   6.504e+03,   8.021e-02,  -4.268e-02
   3.000e-02,   3.000e+02,   6.822e-01,   1.237e+00,   2.982e+02,   5.265e+03,   7.805e+03,   1.229e-01,  -4.613e-02
   3.500e-02,   3.000e+02,   6.822e-01,   1.237e+00,   2.983e+02,   5.266e+03,   1.103e+04,   1.460e-01,  -5.134e-02
   4.000e-02,   3.000e+02,   6.822e-01,   1.237e+00,   2.988e+02,   5.273e+03,   2.503e+04,   1.716e-01,  -6.475e-02
   4.250e-02,   3.000e+02,   6.822e-01,   1.237e+00,   2.993e+02,   5.281e+03,   4.772e+04,   1.878e-01,  -7.915e-02
   4.375e-02,   3.000e+02,   6.822e-01,   1.237e+00,   2.996e+02,   5.288e+03,   7.202e+04,   1.977e-01,  -9.424e-02
   4.500e-02,   3.000e+02,   6.822e-01,   1.237e+00,   3.003e+02,   5.299e+03,   1.189e+05,   2.095e-01,  -1.199e-01
   4.625e-02,   3.000e+02,   6.822e-01,   1.237e+00,   3.017e+02,   5.321e+03,   2.263e+05,   2.245e-01,  -1.574e-01
   4.688e-02,   3.000e+02,   6.822e-01,   1.237e+00,   3.027e+02,   5.340e+03,   3.413e+05,   2.343e-01,  -1.954e-01
   4.750e-02,   3.000e+02,   6.822e-01,   1.237e+00,   3.044e+02,   5.403e+03,   5.678e+05,   2.465e-01,  -2.590e-01
   4.813e-02,   3.000e+02,   6.822e-01,   1.237e+00,   3.058e+02,   5.968e+03,   1.116e+06,   2.627e-01,  -3.532e-01
   4.844e-02,   3.000e+02,   6.822e-01,   1.237e+00,   2.995e+02,   9.113e+03,   1.746e+06,   2.738e-01,  -4.514e-01
   4.875e-02,   3.000e+02,   6.822e-01,   1.237e+00,   2.502e+02,   3.409e+04,   3.101e+06,   2.879e-01,  -5.815e-01
   4.891e-02,   3.000e+02,   6.822e-01,   1.237e+00,   1.761e+02,   1.163e+05,   4.455e+06,   2.970e-01,  -7.042e-01
   4.906e-02,   3.000e+02,   6.822e-01,   1.237e+00,   6.035e+01,   4.912e+05,   6.916e+06,   3.080e-01,  -8.858e-01
   4.922e-02,   3.000e+02,   6.822e-01,   1.237e+00,   5.358e+00,   2.108e+06,   1.206e+07,   3.218e-01,  -1.167e+00
   4.938e-02,   3.000e+02,   6.823e-01,   1.236e+00,   9.283e-02,   8.538e+06,   2.539e+07,   3.400e-01,  -1.525e+00
   4.945e-02,   3.001e+02,   6.825e-01,   1.236e+00,   1.235e-03,   1.925e+07,   4.073e+07,   3.520e-01,  -1.828e+00
   4.953e-02,   3.002e+02,   6.829e-01,   1.235e+00,   5.190e-06,   4.532e+07,   7.204e+07,   3.662e-01,  -2.206e+00
   4.961e-02,   3.008e+02,   6.843e-01,   1.233e+00,   6.963e-09,   1.059e+08,   1.443e+08,   3.835e-01,  -2.613e+00
   4.965e-02,   3.016e+02,   6.862e-01,   1.229e+00,   1.123e-11,   1.698e+08,   2.149e+08,   3.937e-01,  -2.931e+00
   4.969e-02,   3.033e+02,   6.902e-01,   1.222e+00,   9.896e-15,   2.778e+08,   3.352e+08,   4.051e-01,  -3.236e+00
   4.971e-02,   3.049e+02,   6.940e-01,   1.216e+00,   6.229e-16,   3.633e+08,   4.256e+08,   4.114e-01,  -3.456e+00
   4.973e-02,   3.074e+02,   6.998e-01,   1.206e+00,   3.575e-15,   4.794e+08,   5.472e+08,   4.182e-01,  -3.696e+00
   4.975e-02,   3.114e+02,   7.090e-01,   1.190e+00,   2.336e-14,   6.361e+08,   7.117e+08,   4.254e-01,  -3.963e+00
   4.977e-02,   3.175e+02,   7.233e-01,   1.166e+00,   1.743e-13,   8.453e+08,   9.344e+08,   4.332e-01,  -4.199e+00
   4.978e-02,   3.219e+02,   7.333e-01,   1.150e+00,   5.349e-13,   9.797e+08,   1.072e+09,   4.373e-01,  -4.362e+00
   4.979e-02,   3.274e+02,   7.460e-01,   1.131e+00,   1.762e-12,   1.136e+09,   1.230e+09,   4.415e-01,  -4.529e+00
   4.979e-02,   3.343e+02,   7.620e-01,   1.107e+00,   6.296e-12,   1.314e+09,   1.411e+09,   4.459e-01,  -4.700e+00
   4.980e-02,   3.429e+02,   7.820e-01,   1.079e+00,   2.460e-11,   1.517e+09,   1.615e+09,   4.505e-01,  -4.873e+00
   4.981e-02,   3.537e+02,   8.069e-01,   1.046e+00,   1.059e-10,   1.743e+09,   1.842e+09,   4.553e-01,  -5.047e+00
   4.982e-02,   3.668e+02,   8.373e-01,   1.008e+00,   5.068e-10,   1.991e+09,   2.090e+09,   4.602e-01,  -5.221e+00
   4.983e-02,   3.828e+02,   8.744e-01,   9.648e-01,   2.721e-09,   2.257e+09,   2.356e+09,   4.653e-01,  -5.396e+00
   4.984e-02,   4.021e+02,   9.190e-01,   9.181e-01,   1.667e-08,   2.535e+09,   2.635e+09,   4.706e-01,  -5.572e+00
   4.985e-02,   4.249e+02,   9.718e-01,   8.681e-01,   1.189e-07,   2.819e+09,   2.921e+09,   4.760e-01,  -5.753e+00
   4.986e-02,   4.516e+02,   1.034e+00,   8.161e-01,   9.830e-07,   3.099e+09,   3.209e+09,   4.816e-01,  -5.899e+00
   4.987e-02,   4.665e+02,   1.068e+00,   7.896e-01,   3.242e-06,   3.243e+09,   3.347e+09,   4.845e-01,  -5.991e+00
   4.987e-02,   4.826e+02,   1.106e+00,   7.629e-01,   1.065e-05,   3.383e+09,   3.481e+09,   4.874e-01,  -6.078e+00
   4.988e-02,   4.998e+02,   1.146e+00,   7.363e-01,   3.499e-05,   3.519e+09,   3.612e+09,   4.904e-01,  -6.160e+00
   4.988e-02,   5.181e+02,   1.189e+00,   7.098e-01,   1.143e-04,   3.650e+09,   3.738e+09,   4.934e-01,  -6.238e+00
   4.989e-02,   5.377e+02,   1.234e+00,   6.836e-01,   3.684e-04,   3.775e+09,   3.859e+09,   4.965e-01,  -6.312e+00
   4.989e-02,   5.584e+02,   1.282e+00,   6.579e-01,   1.165e-03,   3.893e+09,   3.973e+09,   4.996e-01,  -6.383e+00
   4.990e-02,   5.803e+02,   1.333e+00,   6.327e-01,   3.601e-03,   4.004e+09,   4.082e+09,   5.027e-01,  -6.452e+00
   4.990e-02,   6.034e+02,   1.387e+00,   6.081e-01,   1.085e-02,   4.108e+09,   4.183e+09,   5.058e-01,  -6.518e+00
   4.991e-02,   6.276e+02,   1.444e+00,   5.842e-01,   3.183e-02,   4.205e+09,   4.277e+09,   5.090e-01,  -6.582e+00
   4.991e-02,   6.531e+02,   1.504e+00,   5.611e-01,   9.078e-02,   4.294e+09,   4.365e+09,   5.122e-01,  -6.645e+00
   4.992e-02,   6.797e+02,   1.566e+00,   5.388e-01,   2.516e-01,   4.376e+09,   4.445e+09,   5.155e-01,  -6.706e+00
   4.992e-02,   7.074e+02,   1.631e+00,   5.173e-01,   6.771e-01,   4.450e+09,   4.519e+09,   5.187e-01,  -6.768e+00
   4.993e-02,   7.362e+02,   1.698e+00,   4.967e-01,   1.768e+00,   4.517e+09,   4.587e+09,   5.220e-01,  -6.814e+00
   4.993e-02,   7.511e+02,   1.733e+00,   4.867e-01,   2.853e+00,   4.551e+09,   4.617e+09,   5.237e-01,  -6.843e+00
   4.993e-02,   7.662e+02,   1.769e+00,   4.770e-01,   4.564e+00,   4.582e+09,   4.645e+09,   5.254e-01,  -6.871e+00
   4.993e-02,   7.815e+02,   1.805e+00,   4.674e-01,   7.244e+00,   4.613e+09,   4.672e+09,   5.271e-01,  -6.897e+00
   4.994e-02,   7.972e+02,   1.842e+00,   4.581e-01,   1.141e+01,   4.641e+09,   4.698e+09,   5.287e-01,  -6.922e+00
   4.994e-02,   8.131e+02,   1.879e+00,   4.490e-01,   1.786e+01,   4.668e+09,   4.722e+09,   5.304e-01,  -6.946e+00
   4.994e-02,   8.292e+02,   1.917e+00,   4.401e-01,   2.773e+01,   4.694e+09,   4.745e+09,   5.321e-01,  -6.969e+00
   4.994e-02,   8.456e+02,   1.956e+00,   4.314e-01,   4.277e+01,   4.718e+09,   4.766e+09,   5.338e-01,  -6.990e+00
   4.995e-02,   8.622e+02,   1.995e+00,   4.229e-01,   6.551e+01,   4.741e+09,   4.787e+09,   5.355e-01,  -7.011e+00
   4.995e-02,   8.790e+02,   2.034e+00,   4.147e-01,   9.966e+01,   4.763e+09,   4.805e+09,   5.372e-01,  -7.030e+00
   4.995e-02,   8.961e+02,   2.075e+00,   4.066e-01,   1.507e+02,   4.783e+09,   4.823e+09,   5.390e-01,  -7.056e+00
   4.996e-02,   9.309e+02,   2.157e+00,   3.911e-01,   3.335e+02,   4.817e+09,   4.857e+09,   5.424e-01,  -7.091e+00
   4.996e-02,   9.665e+02,   2.241e+00,   3.765e-01,   7.205e+02,   4.848e+09,   4.887e+09,   5.459e-01,  -7.126e+00
   4.997e-02,   1.003e+03,   2.327e+00,   3.626e-01,   1.518e+03,   4.876e+09,   4.914e+09,   5.493e-01,  -7.160e+00
   4.997e-02,   1.040e+03,   2.414e+00,   3.494e-01,   3.120e+03,   4.901e+09,   4.938e+09,   5.528e-01,  -7.193e+00
   4.998e-02,   1.077e+03,   2.503e+00,   3.370e-01,   6.258e+03,   4.924e+09,   4.959e+09,   5.564e-01,  -7.224e+00
   4.998e-02,   1.115e+03,   2.593e+00,   3.253e-01,   1.225e+04,   4.945e+09,   4.978e+09,   5.599e-01,  -7.253e+00
   4.999e-02,   1.154e+03,   2.685e+00,   3.143e-01,   2.337e+04,   4.966e+09,   4.995e+09,   5.634e-01,  -7.273e+00
   4.999e-02,   1.173e+03,   2.731e+00,   3.090e-01,   3.213e+04,   4.977e+09,   5.003e+09,   5.652e-01,  -7.284e+00
   4.999e-02,   1.192e+03,   2.777e+00,   3.039e-01,   4.387e+04,   4.989e+09,   5.010e+09,   5.670e-01,  -7.294e+00
   4.999e-02,   1.212e+03,   2.823e+00,   2.989e-01,   5.953e+04,   5.000e+09,   5.018e+09,   5.688e-01,  -7.302e+00
   5.000e-02,   1.231e+03,   2.869e+00,   2.941e-01,   8.028e+04,   5.012e+09,   5.025e+09,   5.705e-01,  -7.307e+00
   5.000e-02,   1.251e+03,   2.915e+00,   2.894e-01,   1.076e+05,   5.023e+09,   5.032e+09,   5.723e-01,  -7.311e+00
   5.000e-02,   1.270e+03,   2.961e+00,   2.849e-01,   1.434e+05,   5.035e+09,   5.039e+09,   5.741e-01,  -7.314e+00
   5.000e-02,   1.309e+03,   3.054e+00,   2.763e-01,   2.484e+05,   5.057e+09,   5.055e+09,   5.777e-01,  -7.312e+00
   5.001e-02,   1.347e+03,   3.145e+00,   2.682e-01,   4.199e+05,   5.081e+09,   5.071e+09,   5.812e-01,  -7.305e+00
   5.001e-02,   1.366e+03,   3.191e+00,   2.644e-01,   5.423e+05,   5.096e+09,   5.079e+09,   5.830e-01,  -7.297e+00
   5.001e-02,   1.385e+03,   3.236e+00,   2.607e-01,   6.958e+05,   5.110e+09,   5.087e+09,   5.848e-01,  -7.287e+00
   5.002e-02,   1.404e+03,   3.281e+00,   2.571e-01,   8.870e+05,   5.126e+09,   5.096e+09,   5.866e-01,  -7.274e+00
   5.002e-02,   1.423e+03,   3.325e+00,   2.537e-01,   1.123e+06,   5.142e+09,   5.105e+09,   5.884e-01,  -7.258e+00
   5.002e-02,   1.441e+03,   3.370e+00,   2.504e-01,   1.414e+06,   5.159e+09,   5.114e+09,   5.901e-01,  -7.238e+00
   5.002e-02,   1.459e+03,   3.413e+00,   2.472e-01,   1.768e+06,   5.177e+09,   5.124e+09,   5.919e-01,  -7.214e+00
   5.003e-02,   1.477e+03,   3.456e+00,   2.441e-01,   2.196e+06,   5.196e+09,   5.134e+09,   5.937e-01,  -7.187e+00
   5.003e-02,   1.495e+03,   3.499e+00,   2.411e-01,   2.709e+06,   5.215e+09,   5.145e+09,   5.954e-01,  -7.156e+00
   5.003e-02,   1.512e+03,   3.540e+00,   2.383e-01,   3.321e+06,   5.236e+09,   5.156e+09,   5.972e-01,  -7.121e+00
   5.003e-02,   1.530e+03,   3.581e+00,   2.356e-01,   4.043e+06,   5.258e+09,   5.168e+09,   5.989e-01,  -7.081e+00
   5.004e-02,   1.546e+03,   3.622e+00,   2.329e-01,   4.888e+06,   5.281e+09,   5.180e+09,   6.006e-01,  -7.036e+00
   5.004e-02,   1.563e+03,   3.661e+00,   2.304e-01,   5.870e+06,   5.305e+09,   5.193e+09,   6.024e-01,  -6.987e+00
   5.004e-02,   1.579e+03,   3.700e+00,   2.280e-01,   7.001e+06,   5.330e+09,   5.207e+09,   6.041e-01,  -6.933e+00
   5.004e-02,   1.595e+03,   3.738e+00,   2.257e-01,   8.291e+06,   5.356e+09,   5.221e+09,   6.058e-01,  -6.873e+00
   5.005e-02,   1.611e+03,   3.775e+00,   2.235e-01,   9.751e+06,   5.383e+09,   5.235e+09,   6.074e-01,  -6.808e+00
   5.005e-02,   1.626e+03,   3.811e+00,   2.214e-01,   1.139e+07,   5.411e+09,   5.251e+09,   6.091e-01,  -6.737e+00
   5.005e-02,   1.640e+03,   3.846e+00,   2.194e-01,   1.320e+07,   5.440e+09,   5.266e+09,   6.107e-01,  -6.661e+00
   5.005e-02,   1.655e+03,   3.880e+00,   2.174e-01,   1.520e+07,   5.469e+09,   5.282e+09,   6.124e-01,  -6.578e+00
   5.006e-02,   1.668e+03,   3.913e+00,   2.156e-01,   1.738e+07,   5.500e+09,   5.299e+09,   6.140e-01,  -6.489e+00
   5.006e-02,   1.682e+03,   3.945e+00,   2.139e-01,   1.972e+07,   5.531e+09,   5.316e+09,   6.156e-01,  -6.394e+00
   5.006e-02,   1.695e+03,   3.976e+00,   2.122e-01,   2.223e+07,   5.563e+09,   5.334e+09,   6.171e-01,  -6.293e+00
   5.006e-02,   1.707e+03,   4.006e+00,   2.106e-01,   2.487e+07,   5.595e+09,   5.352e+09,   6.187e-01,  -6.186e+00
   5.007e-02,   1.719e+03,   4.035e+00,   2.091e-01,   2.763e+07,   5.628e+09,   5.370e+09,   6.202e-01,  -6.072e+00
   5.007e-02,   1.731e+03,   4.062e+00,   2.077e-01,   3.048e+07,   5.660e+09,   5.389e+09,   6.216e-01,  -5.892e+00
   5.007e-02,   1.753e+03,   4.115e+00,   2.050e-01,   3.631e+07,   5.725e+09,   5.427e+09,   6.245e-01,  -5.629e+00
   5.008e-02,   1.773e+03,   4.163e+00,   2.027e-01,   4.209e+07,   5.788e+09,   5.466e+09,   6.273e-01,  -5.345e+00
   5.008e-02,   1.792e+03,   4.207e+00,   2.006e-01,   4.751e+07,   5.848e+09,   5.504e+09,   6.299e-01,  -5.040e+00
   5.009e-02,   1.809e+03,   4.247e+00,   1.987e-01,   5.226e+07,   5.905e+09,   5.542e+09,   6.323e-01,  -4.719e+00
   5.009e-02,   1.824e+03,   4.283e+00,   1.970e-01,   5.607e+07,   5.957e+09,   5.579e+09,   6.346e-01,  -4.385e+00
   5.010e-02,   1.838e+03,   4.316e+00,   1.955e-01,   5.874e+07,   6.002e+09,   5.614e+09,   6.368e-01,  -4.042e+00
   5.010e-02,   1.851e+03,   4.345e+00,   1.942e-01,   6.017e+07,   6.041e+09,   5.646e+09,   6.388e-01,  -3.693e+00
   5.011e-02,   1.862e+03,   4.372e+00,   1.930e-01,   6.033e+07,   6.072e+09,   5.676e+09,   6.406e-01,  -3.344e+00
   5.011e-02,   1.873e+03,   4.396e+00,   1.919e-01,   5.929e+07,   6.096e+09,   5.703e+09,   6.422e-01,  -2.997e+00
   5.012e-02,   1.882e+03,   4.417e+00,   1.910e-01,   5.719e+07,   6.112e+09,   5.727e+09,   6.437e-01,  -2.657e+00
   5.012e-02,   1.891e+03,   4.437e+00,   1.902e-01,   5.422e+07,   6.121e+09,   5.747e+09,   6.450e-01,  -2.327e+00
   5.013e-02,   1.899e+03,   4.454e+00,   1.894e-01,   5.057e+07,   6.123e+09,   5.764e+09,   6.461e-01,  -2.009e+00
   5.013e-02,   1.906e+03,   4.470e+00,   1.887e-01,   4.648e+07,   6.118e+09,   5.777e+09,   6.471e-01,  -1.707e+00
   5.014e-02,   1.913e+03,   4.484e+00,   1.881e-01,   4.214e+07,   6.109e+09,   5.786e+09,   6.479e-01,  -1.423e+00
   5.014e-02,   1.919e+03,   4.498e+00,   1.876e-01,   3.774e+07,   6.094e+09,   5.792e+09,   6.486e-01,  -1.156e+00
   5.015e-02,   1.925e+03,   4.510e+00,   1.871e-01,   3.341e+07,   6.075e+09,   5.795e+09,   6.492e-01,  -7.844e-01
   5.016e-02,   1.936e+03,   4.532e+00,   1.862e-01,   2.557e+07,   6.026e+09,   5.790e+09,   6.499e-01,  -3.664e-01
   5.017e-02,   1.945e+03,   4.551e+00,   1.854e-01,   1.894e+07,   5.968e+09,   5.773e+09,   6.503e-01,  -2.187e-02
   5.018e-02,   1.954e+03,   4.568e+00,   1.847e-01,   1.365e+07,   5.905e+09,   5.748e+09,   6.503e-01,   2.562e-01
   5.019e-02,   1.962e+03,   4.585e+00,   1.840e-01,   9.618e+06,   5.839e+09,   5.714e+09,   6.501e-01,   4.765e-01
   5.020e-02,   1.970e+03,   4.600e+00,   1.834e-01,   6.643e+06,   5.772e+09,   5.675e+09,   6.496e-01,   6.481e-01
   5.021e-02,   1.977e+03,   4.614e+00,   1.829e-01,   4.501e+06,   5.707e+09,   5.632e+09,   6.490e-01,   7.796e-01
   5.021e-02,   1.985e+03,   4.627e+00,   1.823e-01,   2.984e+06,   5.642e+09,   5.586e+09,   6.482e-01,   9.284e-01
   5.023e-02,   1.998e+03,   4.653e+00,   1.813e-01,   1.362e+06,   5.519e+09,   5.488e+09,   6.464e-01,   1.038e+00
   5.025e-02,   2.011e+03,   4.677e+00,   1.804e-01,   6.053e+05,   5.404e+09,   5.388e+09,   6.444e-01,   1.095e+00
   5.027e-02,   2.023e+03,   4.700e+00,   1.795e-01,   2.636e+05,   5.296e+09,   5.289e+09,   6.422e-01,   1.121e+00
   5.029e-02,   2.034e+03,   4.721e+00,   1.787e-01,   1.123e+05,   5.195e+09,   5.192e+09,   6.400e-01,   1.128e+00
   5.031e-02,   2.045e+03,   4.741e+00,   1.779e-01,   4.474e+04,   5.099e+09,   5.100e+09,   6.378e-01,   1.124e+00
   5.035e-02,   2.064e+03,   4.778e+00,   1.766e-01,   9.754e+03,   4.922e+09,   4.925e+09,   6.334e-01,   1.105e+00
   5.039e-02,   2.081e+03,   4.811e+00,   1.754e-01,   2.141e+03,   4.762e+09,   4.765e+09,   6.291e-01,   1.083e+00
   5.043e-02,   2.097e+03,   4.841e+00,   1.743e-01,   4.791e+02,   4.614e+09,   4.618e+09,   6.249e-01,   1.060e+00
   5.047e-02,   2.110e+03,   4.867e+00,   1.733e-01,   1.106e+02,   4.479e+09,   4.482e+09,   6.208e-01,   1.038e+00
   5.051e-02,   2.123e+03,   4.891e+00,   1.725e-01,   2.652e+01,   4.353e+09,   4.356e+09,   6.167e-01,   1.016e+00
   5.055e-02,   2.134e+03,   4.912e+00,   1.718e-01,   6.640e+00,   4.236e+09,   4.239e+09,   6.127e-01,   9.957e-01
   5.059e-02,   2.143e+03,   4.931e+00,   1.711e-01,   1.739e+00,   4.126e+09,   4.129e+09,   6.088e-01,   9.756e-01
   5.063e-02,   2.152e+03,   4.948e+00,   1.705e-01,   4.752e-01,   4.024e+09,   4.027e+09,   6.050e-01,   9.560e-01
   5.066e-02,   2.160e+03,   4.963e+00,   1.700e-01,   1.346e-01,   3.928e+09,   3.930e+09,   6.013e-01,   9.368e-01
   5.070e-02,   2.167e+03,   4.977e+00,   1.695e-01,   3.643e-02,   3.837e+09,   3.840e+09,   5.976e-01,   9.078e-01
   5.078e-02,   2.179e+03,   5.000e+00,   1.687e-01,   5.317e-03,   3.671e+09,   3.673e+09,   5.905e-01,   8.753e-01
   5.086e-02,   2.189e+03,   5.020e+00,   1.681e-01,   9.087e-04,   3.521e+09,   3.523e+09,   5.837e-01,   8.447e-01
   5.094e-02,   2.197e+03,   5.035e+00,   1.675e-01,   2.037e-04,   3.385e+09,   3.387e+09,   5.771e-01,   7.978e-01
   5.109e-02,   2.209e+03,   5.058e+00,   1.668e-01,   6.009e-05,   3.148e+09,   3.150e+09,   5.646e-01,   7.510e-01
   5.125e-02,   2.217e+03,   5.075e+00,   1.662e-01,   3.473e-05,   2.945e+09,   2.947e+09,   5.529e-01,   6.785e-01
   5.156e-02,   2.226e+03,   5.093e+00,   1.657e-01,   2.074e-05,   2.619e+09,   2.620e+09,   5.317e-01,   6.185e-01
   5.188e-02,   2.231e+03,   5.102e+00,   1.654e-01,   1.548e-05,   2.357e+09,   2.358e+09,   5.124e-01,   5.231e-01
   5.250e-02,   2.235e+03,   5.109e+00,   1.651e-01,   1.234e-05,   1.978e+09,   1.979e+09,   4.797e-01,   4.593e-01
   5.313e-02,   2.236e+03,   5.111e+00,   1.651e-01,   1.136e-05,   1.698e+09,   1.698e+09,   4.510e-01,   4.076e-01
   5.375e-02,   2.237e+03,   5.112e+00,   1.650e-01,   1.104e-05,   1.483e+09,   1.483e+09,   4.255e-01,   3.253e-01
   5.500e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.090e-05,   1.195e+09,   1.195e+09,   3.848e-01,   2.778e-01
   5.625e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   9.944e+08,   9.946e+08,   3.501e-01,   2.415e-01
   5.750e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   8.478e+08,   8.480e+08,   3.199e-01,   1.850e-01
   6.000e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   6.642e+08,   6.642e+08,   2.737e-01,   1.556e-01
   6.250e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   5.415e+08,   5.415e+08,   2.348e-01,   1.340e-01
   6.500e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   4.547e+08,   4.547e+08,   2.013e-01,   1.176e-01
   6.750e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   3.904e+08,   3.905e+08,   1.719e-01,   1.047e-01
   7.000e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   3.413e+08,   3.413e+08,   1.457e-01,   8.339e-02
   7.500e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   2.763e+08,   2.763e+08,   1.040e-01,   7.245e-02
   8.000e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   2.308e+08,   2.308e+08,   6.780e-02,   6.437e-02
   8.500e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   1.975e+08,   1.975e+08,   3.562e-02,   5.710e-02
   9.000e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   1.727e+08,   1.727e+08,   7.068e-03,   7.068e-03
   1.000e-01,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   1.727e+08,   1.727e+08,   0.000e+00,   7.068e-03
